Mix,1,2,3,4,5,6,7,8,9,10,11
EM1,0.884,6.643,1.564,0.158,0.608,1.565,1.538,0.26,2.124,0.07,0.228
EM1,0.845,7.007,1.225,0.154,0.442,1.407,1.363,0.258,2.313,0.093,0.284
EM1,0.854,6.96,1.609,0.149,0.444,1.396,1.364,0.256,2.256,0.075,0.25
EM2,0.855,9.464,1.945,0.275,0.575,3.257,4.12,0.564,5.034,0.192,0.504
EM2,0.839,9.71,1.917,0.264,0.542,3.071,3.921,0.532,4.8,0.179,0.488
EM2,0.862,9.507,2.095,0.295,0.647,3.231,4.112,0.639,4.612,0.176,0.523
M1,0.861,8.214,1.304,0.162,0.343,1.596,1.74,0.239,2.187,0.093,0.29
M2,0.792,8.095,1.713,0.187,0.369,2.141,2.46,0.327,2.937,0.1,0.346
M3,0.843,8.797,2.202,0.247,0.522,2.777,3.262,0.476,4.013,0.167,0.503
M4,0.831,8.883,1.632,0.242,0.589,3.026,3.605,0.529,4.143,0.165,0.49
