Mix,1,2,3,4,5,6,7,8,9,10,11
EM1,121297,911875,214712,21634,83430,214865,211180,35631,291636,9543,31265
EM1,132444,1098630,191996,24159,69362,220643,213666,40391,362674,14555,44554
EM1,96394,785285,181528,16774,50076,157569,153889,28874,254572,8489,28189
EM2,125627,1390196,285691,40339,84531,478368,605236,82908,739395,28161,74060
EM2,124573,1441304,284559,39233,80444,455813,582021,78969,712464,26519,72458
EM2,161428,1781259,392511,55281,121310,605334,770413,119818,864191,33022,98047
M1,95739,913373,144959,18061,38157,177458,193444,26588,243187,10306,32271
M2,225770,2307918,488316,53230,105280,610477,701445,93349,837394,28641,98613
M3,110267,1150780,288050,32247,68308,363229,426687,62260,524958,21789,65788
M4,132549,1416687,260301,38565,93999,482513,574955,84291,660761,26338,78126
