Mix,1,2,3,4,5,6,7,8,9,10,11
EM1,0.76,5.46,1.96,1.55,0.21,0.47,1.92,0.88,2.92,0.46,4.07
EM1,0.75,5.06,1.89,1.47,0.20,0.45,1.89,0.83,2.72,0.47,4.06
EM1,0.73,5.03,1.78,1.45,0.19,0.45,1.89,0.84,2.78,0.44,4.00
EM2,0.75,7.11,2.62,2.02,0.39,0.58,3.98,1.85,7.71,0.98,8.09
EM2,0.79,7.28,2.51,2.00,0.39,0.60,4.10,1.81,7.40,0.97,8.63
EM2,0.72,7.05,2.42,1.95,0.37,0.58,3.87,1.76,7.07,0.93,8.05
M1,0.77,5.69,2.08,1.67,0.25,0.50,2.47,1.10,3.87,0.59,5.04
M2,0.76,5.80,2.07,1.61,0.27,0.51,2.74,1.27,4.85,0.69,5.73
M3,0.74,6.36,2.22,1.78,0.32,0.55,3.27,1.42,5.63,0.76,6.50
M4,0.77,6.60,2.41,1.87,0.37,0.61,3.71,1.63,6.35,0.90,7.30
