Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
EM1,0.674,6.915,1.49,0.289,0.463,3.838,1.579,0.309,2.269,0.11,0.299,0.492,0.268,0.241,0.177,0.205
EM1,0.704,5.287,1.155,0.163,0.355,1.908,1.56,0.323,2.333,0.107,0.316,0.527,0.284,0.24,0.171,0.211
EM1,0.699,5.057,1.188,0.162,0.35,1.862,1.582,0.323,2.352,0.107,0.308,0.519,0.282,0.235,0.155,0.221
EM2,0.745,5.413,1.601,0.309,0.476,3.955,3.955,0.698,4.873,0.283,0.587,1.242,0.642,0.8,0.428,0.804
EM2,0.733,7.371,1.733,0.33,0.527,4.173,4.298,0.738,5.048,0.293,0.646,1.023,0.386,0.855,0.449,0.811
EM2,0.725,5.38,1.531,0.299,0.465,3.726,4.139,0.685,4.667,0.277,0.534,1.143,0.606,0.77,0.394,0.752
M1,0.764,6.086,1.258,0.184,0.33,2.119,2.049,0.337,2.454,0.105,0.287,0.539,0.282,0.29,0.2,2.324
M2,0.673,5.747,1.282,0.184,0.338,2.42,2.374,0.405,2.915,0.16,0.357,0.656,0.35,0.392,0.225,0.331
M3,0.795,7.523,1.619,0.242,0.499,3.525,3.471,0.588,4.437,0.247,0.566,1.067,0.557,0.617,0.361,0.635
M4,0.738,6.866,1.706,0.28,0.521,3.656,3.875,0.659,4.607,0.259,0.535,1.162,0.611,0.662,0.4,0.741
