Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110
EM1,13873209,19061594,11488413,4864727,10185148,9606905,3694841,2739312,5083626,8936961,226536,806064,4755237,821259,459693,130753,363248,1780256,1072985,585609,190010,1079584,535317,588544,648204,152930,410886,302691,607727,118074,326670,1369012,231248,1742940,1426268,236735,1373620,1227919,1344803,489304,144244,335754,447706,477024,82052,318142,194740,228820,641935,409389,381574,425618,229684,243150,246948,223604,146929,95829,240055,354178,412184,148921,215812,734330,1471006,1473780,3637888,3547342,910202,948669,658190,172604,322092,98610,103683,650749,263794,229393,458881,930892,1328249,1285700,841614,919848,174371,645975,416008,366204,241677,60521,165979,101006,217598,1384335,1564565,892155,464627,837417,1024611,1577702,1263256,225621,131234,1216706,511959,602778,174087,421150,204527,117199
EM1,13247413,18981346,11482174,4835033,10227382,9490069,3706976,2738697,5068094,8874170,224856,806245,4815999,834099,467379,133956,367411,1818314,1070769,591161,190504,1094089,542927,599362,646678,151421,416718,305722,614388,121345,319432,1377054,236311,1758281,1452653,238784,1417273,1231639,1366753,492383,144464,333492,451545,482054,84240,321850,195469,227267,637076,413833,380136,433092,233475,243858,242679,224780,147476,97860,238284,359208,417564,146713,216844,732322,1467194,1480514,3729344,3596373,925876,947937,663444,172886,321610,100100,104434,658035,265305,232390,465019,940085,1375429,1303703,851953,940306,180739,640859,427584,359731,236946,62978,161210,106379,211531,1336876,1625149,865111,470273,839545,1055560,1612465,1304439,224073,135348,1229694,507440,596415,176719,393572,199568,116120
EM2,13557551,18430864,11437542,4586827,9956581,9195076,3692373,2798921,5011724,8588972,231228,819959,4847611,789377,463086,128286,371925,1754568,1058616,587067,183199,1078272,516808,586208,618112,151830,411712,299722,577514,115378,306507,1328458,233749,1708874,1467630,228184,1424473,1157524,1291242,465987,135588,320169,426797,480601,81071,324416,187016,216999,610197,397437,373570,430922,220480,240877,242860,220449,138731,94375,228652,348426,411849,148700,217169,718577,1479776,1456547,3684429,3452477,897228,927945,648088,168214,314466,94724,105011,660367,265905,217953,462603,932173,1335396,1298203,847386,905920,176765,623021,417070,361209,234056,60302,157214,102734,210450,1343103,1585531,851692,474456,840458,1019365,1592858,1291446,214104,132628,1196039,502141,599545,169237,412352,197514,119519
EM2,13917681,18566500,11477560,4651068,9965289,9215404,3726841,2814949,5154282,8803275,234161,839401,4966578,817737,476521,129624,380840,1795938,1075706,607187,182419,1122047,528644,600262,651422,158411,418400,301719,589272,115034,311151,1381499,241630,1719105,1485688,229168,1434602,1197243,1333285,468728,135356,319016,437499,490338,82549,327147,190865,219649,612597,394990,372099,429795,219661,246066,242576,226318,142366,93890,235174,353218,416783,149418,216901,729918,1538003,1499589,3770533,3498690,935056,954393,664173,171329,324837,96324,104884,670346,275446,230219,477620,955149,1371788,1320834,869796,940017,176475,660366,423034,369478,236821,61233,167486,104443,213499,1355039,1616036,874440,468986,835224,1062833,1605052,1303807,224375,133271,1231711,508187,609965,174446,414606,203580,124114
EM3,13629896,18859175,11463887,4769938,10021851,9540844,3692096,2768434,4893198,8876284,227691,794734,4700667,826913,459598,130072,365894,1807157,1057951,592760,187010,1059581,531525,572980,643417,147415,401191,302834,606857,118509,310856,1340304,230462,1690658,1432459,225609,1358992,1189822,1334250,474270,138014,322579,435146,461620,82470,313144,185528,218093,624384,402803,361810,414297,220786,235025,236255,215371,142506,95365,229791,341447,394894,144021,212230,712356,1469781,1506170,3677805,3567039,930890,950643,648332,159438,308822,95077,98535,648274,258081,224698,452864,964771,1374825,1246325,836332,910219,165909,605568,431479,348934,226781,62457,160353,97657,198974,1352471,1599600,854223,450859,848427,1043429,1594487,1330603,228342,140051,1253843,505433,627302,172997,431406,208291,119102
EM3,13768429,19027206,11460809,4754517,9937314,9596636,3712216,2783707,4956623,8789479,222542,792195,4717142,820946,450803,130610,366079,1769447,1046510,587738,184322,1065453,533323,582247,639632,149472,401847,307396,602642,119913,317009,1329555,233019,1723059,1436075,230281,1367288,1215462,1331280,474920,137412,322762,439917,466340,83486,313483,189781,222857,632928,404845,367237,416154,220915,236788,237225,219022,145560,94425,231762,343805,400070,143081,214907,712456,1507325,1520217,3728005,3598234,926902,960802,646297,162435,316852,96896,100949,676469,277041,230130,459152,982975,1412859,1316576,880792,934613,173247,630890,421576,362736,229120,62483,166911,99963,202541,1334099,1578583,864886,438467,865694,1046828,1610599,1283828,226625,135966,1222733,517877,613606,174466,412835,205322,116124
EM4,14187232,19820301,12179765,4774807,10054527,9730096,3880281,3015621,5106241,9205863,244704,839512,5020134,824669,479779,128011,377176,1840174,1076585,616865,182086,1099622,538256,603616,649428,154222,422916,319014,621959,119958,312584,1338152,243207,1744669,1508092,225331,1403552,1203329,1344289,471411,136469,334819,444106,482749,84305,329802,189938,216946,631274,408606,370860,422548,220699,246279,243674,224638,146391,96403,227687,346840,422388,149120,226777,749694,1666486,1614045,3909988,3676381,935849,948371,624925,156957,327861,89990,96423,672535,269958,226842,460302,988208,1445931,1323109,910040,940657,163956,606013,427493,342401,218023,64752,153990,88508,187004,1300044,1593664,852362,427771,877455,1107240,1624605,1343051,240560,148018,1285620,543936,636784,179198,432645,208742,114466
EM4,14263339,19792774,12111750,4768107,10129652,9590802,3896480,3032004,5242537,9520800,242968,855399,5182037,838463,477657,132888,383748,1834848,1096385,630362,180223,1099693,530747,595989,670191,156742,420118,319406,628369,118720,315242,1386087,244259,1718977,1533363,231400,1424761,1201798,1365344,469545,135711,329046,445549,497733,82850,336301,188263,215065,619130,398781,364537,428441,216937,243290,245122,229004,145302,95952,228604,352326,414448,150570,219282,752073,1681687,1616365,3950487,3733159,973339,953690,637368,159358,340037,94191,95879,701530,284639,236887,487176,1047961,1473235,1365641,961231,985953,171738,630088,438644,368026,229824,66516,166202,93356,196881,1309791,1589449,878005,434097,910363,1121831,1681086,1344890,251725,149537,1270005,546591,656426,182466,425154,208286,114238
EM5,13866904,20678350,12098978,4945882,10344527,10139457,3904053,2996671,5137132,9846285,240563,819472,5020920,864179,466025,135682,371327,1848413,1088891,631823,185583,1086727,551287,599981,682049,152643,410010,329729,641992,124155,320534,1362343,236414,1735688,1510942,234569,1368881,1258691,1389016,477852,140871,344421,461503,490185,83630,324429,190719,219633,644450,409312,374999,418868,228469,240251,235299,220513,149615,96218,232797,347339,411201,147433,224062,751817,1640420,1654368,3927788,3802083,974999,980344,637087,150851,325697,90272,95279,685348,269176,236103,465399,1024884,1483468,1337367,900564,990286,159207,594398,456718,349866,220098,67262,163853,88719,183170,1267215,1600694,887815,454590,946678,1148837,1769412,1387578,241914,149751,1329018,550145,653825,198694,421402,207905,118707
EM5,14275820,20772411,12134933,4894057,10307118,9966767,3921898,2968309,5019698,9584337,243454,828375,5026405,846281,481240,133250,382211,1856576,1096584,614971,184568,1100384,552072,612116,676132,151433,417287,330349,648216,126804,318017,1372066,240592,1743242,1481303,236272,1399645,1240856,1392140,479094,140630,345665,455940,476423,84528,328224,189964,217565,635958,409364,366233,405981,222391,234566,234408,217230,144479,95489,230427,345842,415431,145620,225362,764884,1656075,1642433,3944419,3792343,986525,972370,622470,151265,325330,91856,96468,689284,272193,238532,473161,1058440,1460019,1310659,925943,952218,161541,583180,456281,342977,218275,67098,159154,92569,183887,1295384,1617292,885083,450008,940537,1142345,1726757,1393577,239670,149657,1292357,554808,658647,195656,422883,202798,113470
