Mix,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
EM1,1578823,1660845,8226780,957119,3051209,683735,1352208,4010053,2301206,1459630,5994925,1094669,722666,389931,384013,184306,407874,593911,603881,263902,117183,103409,477735,239451,82457,557169,80913,53925,510539,356159,20131,63115,345497,80897,77532,48138,83884,45301,187976,348329,112969,111254
EM1,1519359,1657402,8332649,938678,3053895,640978,1338088,3968993,2220299,1419231,5846340,1088819,682444,391672,375492,180215,405711,594167,588789,258499,112408,102798,472903,243771,78849,539942,80241,52495,517041,350758,19537,58296,333699,80919,77591,49771,77639,46095,185778,355754,107632,114788
EM1,1431892,1563000,8047465,873198,2990095,604530,1263397,3838898,2104601,1342253,5636439,1074187,656248,374733,347202,165278,380548,554259,550879,236031,104575,94409,418006,215547,69331,490665,70609,46705,462963,318125,15930,51583,305788,72831,71265,45441,73402,42408,180121,345583,107695,112304
EM1,1552638,1767707,8800776,937656,3249019,639885,1328394,4159766,2263426,1445839,6036530,1124926,663576,376948,350731,167257,383346,571975,564887,249043,110753,97704,477209,243723,78192,534219,76937,51887,516684,342531,17111,56407,322904,76229,77629,51036,77025,45699,184889,359243,106458,113079
EM1,1554502,1672899,8443469,927518,3060649,608847,1313522,3944352,2175150,1446970,5859752,1110219,684241,392527,368432,177161,397527,589463,574639,259842,118026,101855,482208,254209,76171,539008,79659,52756,506546,348862,17508,56691,343131,78407,79998,52085,78491,45085,183314,353289,114472,124383
EM2,1005543,1588689,7778896,670759,2398089,340582,1446694,3650910,2855677,1181548,9800517,656857,1021657,333216,288084,202740,580154,814970,993245,166475,135771,64203,419678,281545,70502,814541,47176,56550,1039589,323249,11124,43092,344030,43359,74593,37861,80875,103707,234831,393016,106240,110370
EM2,1245014,1952216,9065021,823765,2901206,403018,1719832,4357498,3280659,1439801,11125467,745694,1171456,376705,332325,228880,694604,975368,1134788,190603,160741,72274,488901,336487,80332,947490,57306,66987,1208689,378858,12936,48414,399457,50693,88241,42306,87292,110539,226516,395267,112850,108273
EM2,1225458,1936643,8938659,803975,2913666,377089,1685362,4227092,3247279,1409631,10747092,718555,1074094,365628,316371,220257,637315,915645,1114577,183854,150752,69046,463887,313026,76311,887497,52355,62307,1140142,354832,12176,45454,363733,46959,80608,39700,83432,104911,236515,379432,109432,110063
EM2,1132553,1759523,8163927,750496,2626917,350345,1580218,3939020,3051550,1357329,10090090,691643,1077070,376880,321038,217109,639215,890096,1087942,182292,151890,70074,468004,323307,77393,901150,54346,66263,1155118,371721,12960,46883,379184,48685,82546,40923,85490,105192,215344,384900,105361,111846
EM2,1086775,1753489,8145611,745036,2607589,339424,1555197,3859796,2922718,1321821,10214865,682765,1053351,360060,326764,225990,646843,894033,1098098,186327,153510,68814,465042,316456,77749,916196,55740,64049,1166497,370489,12577,46527,378131,50335,82946,41495,87517,105825,221437,371848,107216,111199
EM3,417975,1860573,6027307,194401,1006904,116280,1038435,2357231,3747889,537918,5125049,249322,993064,222138,186000,134152,315085,562206,454994,85556,55996,39484,422864,88976,101141,414191,65558,44636,489404,291064,74330,32489,288787,51654,70154,149923,117341,116403,170584,232599,111510,140592
EM3,313179,1453767,4817265,158695,776874,88459,766485,1768075,2867037,422481,4024110,208516,758615,173609,143662,104804,246120,421761,366500,65272,41048,29661,326789,68499,76418,319234,51923,32983,363576,220989,56813,24657,220564,39005,55928,112858,94505,89907,127784,179576,79002,99126
