Mix,1,2,3,4,5,6,7,8,9,10,11
EM1,1578823,1660845,8226780,957119,3051209,683735,1352208,4010053,2301206,1459630,5994925
EM1,1519359,1657402,8332649,938678,3053895,640978,1338088,3968993,2220299,1419231,5846340
EM1,1431892,1563000,8047465,873198,2990095,604530,1263397,3838898,2104601,1342253,5636439
EM1,1552638,1767707,8800776,937656,3249019,639885,1328394,4159766,2263426,1445839,6036530
EM1,1554502,1672899,8443469,927518,3060649,608847,1313522,3944352,2175150,1446970,5859752
EM2,1005543,1588689,7778896,670759,2398089,340582,1446694,3650910,2855677,1181548,9800517
EM2,1245014,1952216,9065021,823765,2901206,403018,1719832,4357498,3280659,1439801,11125467
EM2,1225458,1936643,8938659,803975,2913666,377089,1685362,4227092,3247279,1409631,10747092
EM2,1132553,1759523,8163927,750496,2626917,350345,1580218,3939020,3051550,1357329,10090090
EM2,1086775,1753489,8145611,745036,2607589,339424,1555197,3859796,2922718,1321821,10214865
EM3,417975,1860573,6027307,194401,1006904,116280,1038435,2357231,3747889,537918,5125049
EM3,313179,1453767,4817265,158695,776874,88459,766485,1768075,2867037,422481,4024110
EM3,339863,1567679,5156302,160755,810050,89965,789384,1791196,2927822,407835,4031293
EM3,310301,1388734,4763501,148673,731645,81248,729486,1665146,2707574,392659,3752823
EM3,321740,1466154,4781747,154993,784089,87645,780473,1774294,2798367,397707,3943283
M1,926248,1582556,6736050,595791,2008795,304950,1240256,3226741,2677326,1102744,6538821
M1,932396,1595161,6924254,585694,2058590,297313,1155029,3094547,2608646,1063893,6421139
M1,1012799,1732796,7439678,649650,2262141,308542,1259517,3346973,2809563,1125117,6940496
M1,880995,1509939,6718339,561910,2013135,283821,1169699,3094038,2576997,1043406,6325352
M1,857777,1471830,6443137,556297,1954695,272553,1116130,2967843,2443333,1006536,6238540
M2,1143626,1518545,7063790,749918,2446648,394035,1160991,3390820,2256025,1227666,5791506
M2,1179239,1591613,7331479,762236,2488409,395433,1232263,3563082,2318968,1249380,6027157
M2,1307429,1741330,8000063,807092,2781215,428281,1284792,3739877,2501358,1323052,6512463
M2,1142691,1514866,6992387,736637,2419784,384289,1142262,3354656,2232350,1186756,5777730
M2,1359202,1857226,8216621,898544,2887484,465790,1400078,4004911,2635342,1372687,6816253
M3,840377,1491558,6543763,559327,1964362,266685,1213394,3139676,2530635,1023254,7527280
M3,870313,1524999,6601105,578778,2021450,253737,1217120,3214896,2579178,999648,7583214
