EM1 EM2 EM3
6.494384530588473425e-02 7.691933758571307678e-01 1.658627788369845257e-01
8.916677629719450826e-02 7.828261049214061407e-01 1.280071187813993372e-01
9.600396706256569823e-02 7.749372072733757832e-01 1.290588256640585185e-01
9.277036601937253824e-02 7.451027088664542442e-01 1.621269251141732870e-01
7.346442432878595719e-02 7.709135267739546382e-01 1.556220488972592519e-01
3.575173876344441136e-17 8.208066909877187456e-01 1.791933090122812267e-01
8.704094133646611553e-02 7.783121002091821783e-01 1.346469584543515674e-01
9.311993400164959855e-02 7.716941521498295042e-01 1.351859138485208833e-01
9.152575183292316341e-02 7.423023860878050773e-01 1.661718620792717593e-01
7.266921752539595714e-02 7.682782223885089579e-01 1.590525600860951128e-01
2.440938416713845350e-17 8.096427003625719099e-01 1.903572996374280346e-01
8.759314449631075417e-02 7.698521746407936961e-01 1.425546808628955220e-01
9.152570384731056885e-02 7.652745901634590009e-01 1.431997059892302637e-01
8.884196446188023788e-02 7.343763899384394556e-01 1.767816455996802927e-01
7.153849686073857073e-02 7.582514835994915714e-01 1.702100195397698024e-01
4.516074403626738065e-02 7.962815210781369890e-01 1.585577348855956026e-01
8.802985018274514517e-02 7.801938046164145213e-01 1.317763452008403613e-01
9.454267167484865786e-02 7.726195732368639213e-01 1.328377550882873792e-01
9.115848260894714172e-02 7.424158390862711787e-01 1.664256783047815547e-01
7.215286481806544583e-02 7.683197429633764619e-01 1.595273922185580784e-01
1.061468562431065009e-17 7.816956938508227148e-01 2.183043061491773684e-01
2.818089399970217374e-02 7.808830324513349463e-01 1.909360735489628036e-01
2.672444626820109914e-02 7.831615459382401667e-01 1.901140077935586647e-01
6.723018920289212941e-02 7.294429468741652212e-01 2.033268639229426911e-01
6.551234014989966437e-02 7.341675261566157351e-01 2.003201336934845311e-01
3.387182543872799961e-02 7.584963971518358106e-01 2.076317774094361690e-01
7.827785146616839107e-02 7.425924245198911589e-01 1.791297240139404223e-01
7.689159427580384565e-02 7.450324147365817717e-01 1.780759909876143410e-01
6.534154320445481612e-02 7.260316744608863448e-01 2.086267823346588668e-01
6.514414071655011407e-02 7.360980152478183713e-01 1.987578440356314868e-01
0.000000000000000000e+00 7.613947702308293541e-01 2.386052297691707569e-01
7.859280706040656928e-02 7.322291798583526745e-01 1.891780130812408534e-01
7.701241847478423885e-02 7.344442748144583977e-01 1.885433067107574190e-01
6.658678368210434184e-02 7.179490298563285799e-01 2.154641864615671476e-01
4.397657487519619768e-02 7.326545514275250026e-01 2.233688736972788136e-01
0.000000000000000000e+00 7.746511776380550218e-01 2.253488223619450614e-01
2.620081986102702418e-02 7.757598925667165135e-01 1.980392875722565005e-01
2.476967041941339001e-02 7.779931252803372610e-01 1.972372043002492692e-01
6.470324356424003720e-02 7.251251450861726511e-01 2.101716113495872840e-01
6.319953132305101973e-02 7.300629696932597890e-01 2.067374989836891497e-01
2.761263250077240889e-18 7.820422694710187361e-01 2.179577305289811806e-01
7.607811019529438223e-02 7.534904675912093008e-01 1.704314222134963031e-01
7.481021136792005699e-02 7.553518907835991003e-01 1.698378978484808566e-01
6.984475626387166847e-02 7.271824994015801957e-01 2.029727443345481774e-01
7.579160970091873561e-02 7.220396535387638703e-01 2.021687367603173524e-01
0.000000000000000000e+00 7.750603251486014589e-01 2.249396748513984579e-01
7.436430200672378144e-02 7.483985639074803853e-01 1.772371340857959443e-01
