EM1 EM2 EM3 cv
4.265188092507750639e+01 3.398842144519995401e+01 2.335969762972253960e+01 4.558250003145136037e-02
4.299779006351605659e+01 3.798527410816920025e+01 1.901693582831475737e+01 5.021487812298390530e-02
4.174947705745693582e+01 3.762043072267515953e+01 2.063009221986790109e+01 4.750059036494257841e-02
4.234358539798728316e+01 3.710697313443623813e+01 2.054944146757648582e+01 5.031133479267198977e-02
4.323867422243653635e+01 3.603654176506412199e+01 2.072478401249934166e+01 5.085666519486330139e-02
4.171467274341867437e+01 3.420469487298571210e+01 2.408063238359561353e+01 4.498008268686025379e-02
4.264475332532143170e+01 3.736006606339081060e+01 1.999518061128776480e+01 4.954846532686175281e-02
4.141030137776698439e+01 3.695677902798428960e+01 2.163291959424871891e+01 4.681780070740665378e-02
4.206030772785510408e+01 3.638704775338739950e+01 2.155264451875748932e+01 4.971228070958896850e-02
4.195824942729678497e+01 3.622952745948132502e+01 2.181222311322190777e+01 5.014682326646135307e-02
4.106780659152098423e+01 3.345766834963122704e+01 2.547452505884778517e+01 4.465180607497313409e-02
4.202690168768147316e+01 3.662971086425124412e+01 2.134338744806728627e+01 4.894060332397115465e-02
4.075804981503458890e+01 3.627318557814059830e+01 2.296876460682481635e+01 4.642189066361708527e-02
4.139769148647416586e+01 3.572285822663181420e+01 2.287945028689402349e+01 4.939974456377955320e-02
4.130213476875336198e+01 3.556330542485808621e+01 2.313455980638855181e+01 4.983039137110566869e-02
4.145360414284628092e+01 3.461158794681575301e+01 2.393480791033796251e+01 4.444730360528997143e-02
4.234152762273718906e+01 3.775401970347149927e+01 1.990445267379131522e+01 4.902617743995800470e-02
4.114880492962920755e+01 3.735825631367787025e+01 2.149293875669292575e+01 4.639604466577734038e-02
4.185816852832389401e+01 3.667982285732532688e+01 2.146200861435076845e+01 4.921457256080004339e-02
4.172610794763080122e+01 3.662471631008831707e+01 2.164917574228086750e+01 4.976895229297771672e-02
4.431605081085233167e+01 3.141733802525366315e+01 2.426661116389401229e+01 4.509417996568620968e-02
4.545184534715685487e+01 3.435725490465656407e+01 2.019089974818658462e+01 4.995584438712234732e-02
4.415229431813137495e+01 3.404288317114173168e+01 2.180482251072688626e+01 4.730112557567150294e-02
4.477892526029069131e+01 3.349773248959566985e+01 2.172334225011365305e+01 5.000604434200967008e-02
4.465287797883237886e+01 3.338776043890739942e+01 2.195936158226023238e+01 5.045644821071493258e-02
4.397547380804009975e+01 3.078203971714212628e+01 2.524248647481777397e+01 4.447064162328849546e-02
4.506659329333986364e+01 3.374441512698412282e+01 2.118899157967600644e+01 4.926289542430808271e-02
4.375293620260502081e+01 3.342577782294272026e+01 2.282128597445226958e+01 4.659539293941931948e-02
4.458655494616071735e+01 3.277402561707742734e+01 2.263941943676186241e+01 4.938825105783790914e-02
4.533779458958149178e+01 3.189626007149035658e+01 2.276594533892814809e+01 4.972141207997000933e-02
4.311899762116445345e+01 3.025206671957367277e+01 2.662893565926187378e+01 4.420592723662284534e-02
4.670232680727997376e+01 3.133773182983550143e+01 2.195994136288452481e+01 4.867859088435473602e-02
4.306270297095678501e+01 3.276992106259368853e+01 2.416737596644952646e+01 4.623879352208803278e-02
4.371278664736414044e+01 3.221223698540149627e+01 2.407497636723437040e+01 4.911252522142470212e-02
4.358937909193112858e+01 3.210178062472689220e+01 2.430884028334198277e+01 4.944009176367678005e-02
4.391731845871991169e+01 3.096171647054580234e+01 2.512096507073428242e+01 4.396605606550247486e-02
4.479677935939121625e+01 3.412345277074035721e+01 2.107976786986841233e+01 4.876615600923935728e-02
4.370708257212316994e+01 3.368081838965122898e+01 2.261209903822560818e+01 4.620679786602884670e-02
4.413209149653152963e+01 3.325797721852603672e+01 2.260993128494243720e+01 4.891861467824715898e-02
4.462411349753302403e+01 3.274210852346601541e+01 2.263377797900095345e+01 4.937183505741003786e-02
4.354234854408932875e+01 3.290785945695091641e+01 2.354979199895974773e+01 4.455864017872498278e-02
4.459084855532257308e+01 3.594546948309159973e+01 1.946368196158582364e+01 4.901753260076072843e-02
4.336320028002332094e+01 3.554908571915240856e+01 2.108771400082428116e+01 4.647453118145195017e-02
4.390707596858066353e+01 3.504812074867838589e+01 2.104480328274094703e+01 4.908890461220129231e-02
4.382731034869194531e+01 3.492663416840254342e+01 2.124605548290552548e+01 4.966104297647799815e-02
4.389889281658754072e+01 3.175182514754765606e+01 2.434928203586479611e+01 4.391076249242781976e-02
4.417352421333225010e+01 3.535740479658337421e+01 2.046907099008439701e+01 4.831049611983583708e-02
4.296280444763295492e+01 3.493744331456900909e+01 2.209975223779803599e+01 4.575132713705675619e-02
4.352189878849777926e+01 3.445216367305430083e+01 2.202593753844792701e+01 4.845505988392864033e-02
4.348182475235731914e+01 3.422297968729125728e+01 2.229519556035142003e+01 4.890938918110394190e-02
4.288471730895354028e+01 3.125341679131796724e+01 2.586186589972849248e+01 4.364035758862453568e-02
4.347845319651050033e+01 3.470847542241671135e+01 2.181307138107278476e+01 4.772548099192120558e-02
4.230115805917502314e+01 3.427540625818885189e+01 2.342343568263611786e+01 4.539411703255795405e-02
4.285875041504426974e+01 3.381459613038055778e+01 2.332665345457516892e+01 4.817705820574891967e-02
4.308877514210111315e+01 3.343668812395168999e+01 2.347453673394720397e+01 4.862673327102705334e-02
4.300146020492523746e+01 3.261015638744731859e+01 2.438838340762744394e+01 4.342188663952095684e-02
4.407791637548546504e+01 3.557715146613142565e+01 2.034493215838311642e+01 4.781770004823285986e-02
4.276125098409524838e+01 3.528458383774810159e+01 2.195416517815665713e+01 4.537098169964911415e-02
4.321058181148151789e+01 3.481753358859592851e+01 2.197188459992256071e+01 4.799203289507330411e-02
4.327705714642235790e+01 3.456049901730784057e+01 2.216244383626981218e+01 4.856823720248028275e-02
4.293128799745451118e+01 3.317409674477281811e+01 2.389461525777267425e+01 4.482916521142465971e-02
4.368485483256830548e+01 3.642506525724324717e+01 1.989007991018844379e+01 4.941611921932304030e-02
4.247144143665342142e+01 3.599423261152129783e+01 2.153432595182528431e+01 4.684706655371448369e-02
4.308957693694363655e+01 3.543278362442615048e+01 2.147763943863021296e+01 4.922127732195592797e-02
4.297342246702577739e+01 3.532852353795007616e+01 2.169805399502415710e+01 4.984853206657298419e-02
4.490243607185653474e+01 3.097296516385686971e+01 2.412459876428659911e+01 4.416677367095982187e-02
4.335078761990656204e+01 3.576467060215902904e+01 2.088454177793440536e+01 4.868924645745217189e-02
4.212401470098172496e+01 3.533056450413689475e+01 2.254542079488136963e+01 4.610307028059630607e-02
4.265217896167371947e+01 3.488482764312892215e+01 2.246299339519736193e+01 4.856864061940460026e-02
4.258303098542025111e+01 3.469967926735122887e+01 2.271728974722850936e+01 4.907923913531998805e-02
4.189747736251548105e+01 3.181412252307082866e+01 2.628840011441369029e+01 4.386531939523165974e-02
4.261365043889236404e+01 3.512085588616850629e+01 2.226549367493913323e+01 4.807886763797138835e-02
4.285030037402549397e+01 3.349162491198279668e+01 2.365807471399170581e+01 4.572107819928774436e-02
4.318015441978511859e+01 3.351662845917634570e+01 2.330321712103854637e+01 4.826584253056677432e-02
4.373509714264111636e+01 3.265132965636311724e+01 2.361357320099576285e+01 4.877207447607077861e-02
4.337624009945000125e+01 3.199632164421594283e+01 2.462743825633406303e+01 4.367900694007908341e-02
4.310912071679751989e+01 3.610659448679751193e+01 2.078428479640496462e+01 4.820130363142816066e-02
4.189727432612837532e+01 3.571178727605548175e+01 2.239093839781614292e+01 4.573014198888376847e-02
4.245060587566617016e+01 3.519537847416939513e+01 2.235401565016443826e+01 4.810431550144652485e-02
4.232219861999062260e+01 3.509290712873874440e+01 2.258489425127062944e+01 4.873863100808948495e-02
4.290854334841920803e+01 3.298278764110871464e+01 2.410866901047207733e+01 4.420124543137448486e-02
4.369769497321640017e+01 3.622467876574064150e+01 2.007762626104295478e+01 4.858059817354969806e-02
4.253652505605003853e+01 3.571815509358530960e+01 2.174531985036466253e+01 4.595497714765681141e-02
4.308074611426649625e+01 3.530693119122392432e+01 2.161232269450957233e+01 4.866298897573108351e-02
4.300806308904316211e+01 3.514729108533466473e+01 2.184464582562217316e+01 4.928462643170998525e-02
4.457875678290452015e+01 3.081648959006286148e+01 2.460475362703262192e+01 4.351231664944830990e-02
4.339318935174848235e+01 3.554040104169565950e+01 2.106640960655585459e+01 4.782408564194778194e-02
4.211544067258860480e+01 3.514534650397825999e+01 2.273921282343312811e+01 4.518024581106822035e-02
4.270030491411608864e+01 3.467427307382559576e+01 2.262542201205831560e+01 4.798549532061918005e-02
4.264424825343365910e+01 3.443695692291858279e+01 2.291879482364775455e+01 4.848935223360718860e-02
4.189172826229509639e+01 3.152393045872763011e+01 2.658434127897726995e+01 4.322456551889216486e-02
4.273919261287105087e+01 3.482893746708176508e+01 2.243186992004718405e+01 4.721552348910532104e-02
4.229883701606309643e+01 3.384205937625193883e+01 2.385910360768495764e+01 4.480733836401329384e-02
4.328725904116260637e+01 3.265501001803776404e+01 2.405773094079963670e+01 4.769385149765324045e-02
4.296148083194674427e+01 3.282784389471725461e+01 2.421067527333599401e+01 4.819317557723573620e-02
4.297697002181057258e+01 3.234132843722372286e+01 2.468170154096571522e+01 4.303000178098254080e-02
4.306576373153637149e+01 3.595172867043983445e+01 2.098250759802377630e+01 4.733528079142423212e-02
4.192120517150578252e+01 3.550120786041287602e+01 2.257758696808134502e+01 4.480981181612801040e-02
4.247774690654848939e+01 3.502651522796233508e+01 2.249573786548916488e+01 4.752523588692443568e-02
4.240524901050662976e+01 3.485764048761793532e+01 2.273711050187543847e+01 4.815431406538990544e-02
4.382982869835024786e+01 3.364201042373790784e+01 2.252816087791184074e+01 4.562563184659892968e-02
4.475981020595803983e+01 3.678365228190084935e+01 1.845653751214111082e+01 5.098952491560015954e-02
4.323955050927419563e+01 3.660881064464248880e+01 2.015163884608331912e+01 4.779963071504171601e-02
4.399307130003742827e+01 3.594153891750297447e+01 2.006538978245960791e+01 5.070652820609932582e-02
4.396645709272812752e+01 3.577923023689281479e+01 2.025431267037906480e+01 5.116820486469956381e-02
4.342579511071552645e+01 3.305514897356395210e+01 2.351905591572052145e+01 4.499039109855458574e-02
4.410454686687873505e+01 3.635761625310643552e+01 1.953783688001484009e+01 5.031716770012426704e-02
4.301723238185010700e+01 3.587992524237292713e+01 2.110284237577696231e+01 4.709679105916993180e-02
4.363899127663253097e+01 3.528253661436267663e+01 2.107847210900479240e+01 5.009214266535493704e-02
4.359106754214165846e+01 3.513890950627534693e+01 2.127002295158298750e+01 5.044251642252783191e-02
4.289072119506348457e+01 3.218955033174417935e+01 2.491972847319233253e+01 4.455001136714092230e-02
4.343324416593268467e+01 3.569510961673890392e+01 2.087164621732841141e+01 4.963977940297274044e-02
4.236437008113421854e+01 3.518236148297798849e+01 2.245326843588780008e+01 4.660902312432124023e-02
